bhag,ek,dui,tin,char
1. GHOR,call_date,date,((now() AT TIME ZONE 'Asia/Kolkata'::text))::date,NO
1. GHOR,id,uuid,gen_random_uuid(),NO
1. GHOR,staff_code,text,(no default),NO
1. GHOR,tapped_at,timestamp with time zone,now(),NO
1. GHOR,target_mobile,text,(no default),YES
1. GHOR,target_mobile_mask,text,(no default),YES
2. KON NAME KOTO,COB-4,277,0,2026-08-23
2. KON NAME KOTO,COB-BRANCH,128,0,2026-08-17
2. KON NAME KOTO,COB-UTTAMA,306,0,2026-08-23
2. KON NAME KOTO,FLK-1,2,0,2026-08-18
2. KON NAME KOTO,JPE-BRANCH,8,0,2026-08-11
2. KON NAME KOTO,JPE-CRP,91,0,2026-08-23
2. KON NAME KOTO,JPE-JALPAI-13,413,0,2026-08-22
2. KON NAME KOTO,JPE-RUPAM,1,0,2026-08-08
2. KON NAME KOTO,KNE-BRANCH,19,0,2026-08-23
2. KON NAME KOTO,KNE-KISHAN5,129,0,2026-08-15
2. KON NAME KOTO,KNE-LAXMI,53,0,2026-08-22
2. KON NAME KOTO,MASTER-TK,27,0,2026-08-23
3. DINE DINE,2026-08-02,2,,
3. DINE DINE,2026-08-03,2,,
3. DINE DINE,2026-08-04,16,,
3. DINE DINE,2026-08-05,9,,
3. DINE DINE,2026-08-06,37,,
3. DINE DINE,2026-08-07,15,,
3. DINE DINE,2026-08-08,5,,
3. DINE DINE,2026-08-09,49,,
3. DINE DINE,2026-08-10,6,,
3. DINE DINE,2026-08-11,15,,
3. DINE DINE,2026-08-12,24,,
3. DINE DINE,2026-08-13,102,,
3. DINE DINE,2026-08-14,127,,
3. DINE DINE,2026-08-15,17,,
3. DINE DINE,2026-08-16,134,,
3. DINE DINE,2026-08-17,110,,
3. DINE DINE,2026-08-18,55,,
3. DINE DINE,2026-08-19,210,,
3. DINE DINE,2026-08-20,172,,
3. DINE DINE,2026-08-21,134,,
3. DINE DINE,2026-08-22,96,,
3. DINE DINE,2026-08-23,117,,
